"Paolo Taviani, Vittorio Taviani",2012,Caesar Must Die,Italia,Good,Berlin Goldener Bär,,
Paul Thomas Anderson,2012,The Master,US,Good,,,
Ridley Scott,2012,Prometheus,US,,,,
Sam Mendes,2012,Skyfall,UK,Good,,,
Tom Hooper,2012,Les Misérables,US,Good,,,
Woody Allen,2012,To Rome with Love,US,Good,,,
류승완,2012,베를린,Korea,Good,,,
윤종빈,2012,범죄와의 전쟁: 나쁜놈들 전성시대,Korea,Good,,,
최동훈,2012,도둑들,Korea,Good,,,
홍상수,2012,다른 나라에서,Korea,Good,,,
Asghar Farhadi,2011,A Separation,Iran,Masterpiece,Berlin Goldener Bär,Oscar Best International Film,"Irony, justice, sympathy, and us."
Béla Tarr,2011,The Turin Horse (토리노의 말),Hungary,Good,,,
Bennett Miller,2011,Moneyball,US,Good,,,
Brad Bird,2011,Mission: Impossible – Ghost Protocol,US,Good,,,
Henning Carlsen,2011,Memoria de mis putas tristes (내 슬픈 창녀들의 추억),Mexico,,,,
"Jean-Pierre Dardenne, Luc Dardenne",2011,The Kid with a Bike,Belgium,Special,,,
Lynne Ramsay,2011,We Need to Talk About Kevin,US,Good,,,
Michel Hazanavicius,2011,The Artist,France,Good,,Oscar Best Picture,
Sarah Polley,2011,Take This Waltz,US,Special,,,
Steven Soderbergh,2011,Contagion,US,Good,,,
Terrence Malick,2011,The Tree of Life,US,Masterpiece,Cannes Palme d'Or,,"Memory, scar, and eternity."
Woody Allen,2011,Midnight in Paris,US,Special,,,
류승완,2011,부당거래,Korea,Good,,청룡영화제 최우수 작품상,
박희곤,2011,퍼펙트 게임,Korea,Good,,,
Christopher Nolan,2010,Inception,US,Good,,,
David Fincher,2010,The Social Network,US,Special,,,
Lee Unkrich,2010,Toy Story 3,Pixar,Good,,,
Mark Romanek,2010,Never Let Me Go,UK,Good,,,
Martin Scorsese,2010,Shutter Island,US,Good,,,
Mike Leigh,2010,Another Year,UK,Special,,,
Tom Hooper,2010,The King's Speech,UK,Good,,Oscar Best Picture,
Woody Allen,2010,You Will Meet a Tall Dark Stranger,US,Good,,,
강우석,2010,이끼,Korea,Good,,,
나홍진,2010,황해,Korea,Good,,,
이정범,2010,아저씨,Korea,Good,,,
이창동,2010,시,Korea,Good,,,
장훈,2010,의형제,Korea,Good,,청룡영화제 최우수 작품상,
홍상수,2010,옥희의 영화,Korea,Good,,,
Jacques Audiard,2009,A Prophet (예언자),France,Good,,César Award for Best Film,
Juan José Campanella,2009,The Secret in Their Eyes (El secreto de sus ojos),Argentina,Special,,Oscar Best International Film,
Kathryn Bigelow,2009,The Hurt Locker,US,Special,,Oscar Best Picture,
Lars von Trier,2009,Antichrist,US,Good,,,
Marc Webb,2009,(500) Days of Summer,US,Good,,,
Michael Haneke,2009,The White Ribbon,Germany,Good,Cannes Palme d'Or,,
Pete Docter,2009,Up,Pixar,Good,,,
Rajkumar Hirani,2009,3 Idiots,India,Good,,IIFA Awards,
Stephen Daldry,2009,The Reader,US,Good,,,
박찬욱,2009,박쥐,Korea,Good,,,
봉준호,2009,마더 (Mother),Korea,Masterpiece,,청룡영화제 최우수 작품상,
최동훈,2009,전우치,Korea,Good,,,
Andrew Stanton,2008,Wall-E,Pixar,Masterpiece,,,
Christopher Nolan,2008,The Dark Knight,US,Masterpiece,,,
Clint Eastwood,2008,Gran Torino,US,Good,,,
Danny Boyle,2008,Slumdog Millionaire,UK,Good,,Oscar Best Picture,
David Fincher,2008,The Curious Case of Benjamin Button,US,Good,,,
Hirokazu Koreeda,2008,Still Walking (걸어도 걸어도),Japan,Good,,,
James Cameron,2008,Avatar,US,Good,,,
Jon Favreau,2008,Iron Man,US,Good,,,
Kiyoshi Kurosawa,2008,Tokyo Sonata,Japan,Good,,,
Paul Thomas Anderson,2008,There Will Be Blood ,US,Special,,,
Sam Mendes,2008,Revolutionary Road,US,Special,,,
Woody Allen,2008,Vicky Cristina Barcelona,US,Good,,,
Yōjirō Takita,2008,"Departures (おくりびと, 굿바이)",Japan,Good,,Oscar Best International Film,
나홍진,2008,추격자,Korea,Special,,,
이경미,2008,미쓰 홍당무,Korea,Good,,,
이윤기,2008,멋진 하루,Korea,Good,,,
이준익,2008,님은 먼 곳에,Korea,Good,,,
임순례,2008,우리 생애 최고의 순간,Korea,Good,,청룡영화제 최우수 작품상,
Ang Lee,2007,"Lust, Caution",China,Good,Venice Leone d’oro,,
Brad Bird,2007,Ratatouille,Pixar,Good,,,
David Fincher ,2007,Zodiac,US,Good,,,
David Yates,2007,Harry Potter and the Order of the Phoenix,US,,,,
